masked.ip.id,age,gender,ethnicity,hispanic,SubjectId,Captcha1,Captcha2,Consent,UseData,BlackSuspect,RaceCheck,GenderCheck,WeaponCheck,PrintCheck,WhiteSuspect,RaceCheck_w,GenderCheck_w,WeaponCheck_w,PrintCheck_w,Masculine_1,Masculine_2,Masculine_3,Masculine_4,Masculine_5,Feminine_7,Feminine_8,Feminine_9,Feminine_10,SuspectPain_1,SuspectPain_2,SuspectPain_3,SuspectFault_1,SuspectFault_2,SuspectFault_3,OfficerFault_1,OfficerFault_2,OfficerFault_3,BeneSexism_1,BeneSexism_2,BeneSexism_3,BeneSexism_4,BeneSexism_5,HostSexism_1,HostSexism_2,HostSexism_3,HostSexism_4,HostSexism_5,HostSexism_6
303,28,2,1,1,3323,1,Cap,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,5,15,76,3,4,11,52,27,90,90,23,22,93,66,34,91,37,33,1,4,3,2,4,3,2,3,4,1,2
304,33,2,1,1,3669,1,Cap,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,81,85,25,72,31,18,38,66,38,70,92,66,81,70,38,31,74,94,3,2,5,3,3,4,3,2,4,3,2
305,19,1,1,1,6556,1,cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,81,62,36,61,23,70,41,62,84,37,87,61,91,94,96,33,35,31,5,3,3,4,3,4,4,5,5,4,4
306,33,2,1,1,1878,1,cap,1,1,1,1,1,0,1,NA,NA,NA,NA,NA,70,72,68,64,62,58,54,66,61,57,66,65,55,66,69,32,43,57,2,3,3,3,3,3,3,4,3,3,4
307,68,1,1,1,5677,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,61,63,62,63,62,11,12,11,11,82,83,83,61,73,73,36,43,58,4,1,4,4,2,2,4,3,3,3,4
308,40,2,1,1,9327,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,98,100,86,96,82,9,12,8,17,52,92,23,93,100,100,16,0,0,1,4,6,4,3,4,5,6,5,6,6
309,73,2,1,1,6277,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,72,71,51,51,51,7,0,0,16,59,99,41,91,72,81,59,28,51,4,1,4,3,1,4,3,2,2,4,3
310,31,2,1,1,6168,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,87,73,86,83,86,16,31,15,21,39,81,51,90,100,91,66,70,34,5,3,4,2,3,6,5,6,5,5,5
311,19,2,1,1,1759,1,Cap,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,100,100,86,80,25,0,0,0,24,100,100,100,100,100,100,25,100,26,6,5,6,6,6,1,1,1,1,1,1
312,26,1,1,1,5756,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,0,1,97,100,16,74,59,24,27,40,44,30,73,49,96,95,100,68,39,40,1,2,1,2,3,1,1,1,1,2,2
313,48,1,2,1,5356,1,Cap,1,0,1,1,1,1,1,NA,NA,NA,NA,NA,39,44,42,42,43,51,40,39,40,44,38,42,38,38,40,42,52,51,3,1,5,4,1,2,4,5,4,5,5
314,21,2,1,1,6819,1,CAP,1,1,1,0,1,1,1,NA,NA,NA,NA,NA,85,60,97,100,94,83,79,88,90,72,88,99,63,64,58,100,100,100,6,6,6,6,6,6,3,4,4,4,4
315,59,2,1,1,9427,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,82,95,82,81,2,0,1,0,0,30,63,32,97,97,53,1,2,2,4,3,5,5,3,5,3,4,3,3,4
316,66,1,1,1,6097,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,76,75,77,76,75,72,70,71,73,70,72,72,80,81,82,81,81,82,5,5,5,5,5,5,5,5,5,5,5
